name,month_and_day,segment,call,current_price,date,symbol
Schlumberger (SLB),01/03,D,buy,40.56,2020-01-03,SLB
Lam Research (LRCX),01/03,D,buy,294.69,2020-01-03,LRCX
Luckin Coffee (LK),01/03,L,negative,36.72,2020-01-03,LK
Lennar (LEN),01/03,D,buy,56.47,2020-01-03,LEN
KLA Corp (KLAC),01/03,D,buy,179.08,2020-01-03,KLAC
KB Home (KBH),01/03,D,buy,34.91,2020-01-03,KBH
JPMorgan Chase (JPM),01/03,D,buy,138.34,2020-01-03,JPM
Home Depot (HD),01/03,D,buy,218.93,2020-01-03,HD
Goldman Sachs (GS),01/03,D,buy,231.58,2020-01-03,GS
Walt Disney (DIS),01/03,D,buy,146.5,2020-01-03,DIS
Microsoft (MSFT),01/03,D,buy,158.62,2020-01-03,MSFT
CVS Health (CVS),01/03,D,buy,73.57,2020-01-03,CVS
Costco (COST),01/03,D,buy,291.73,2020-01-03,COST
Chipotle Mexican Grill (CMG),01/03,D,buy,865.13,2020-01-03,CMG
Apple (AAPL),01/03,D,buy,297.43,2020-01-03,AAPL
AGNC Investment (AGNC),01/03,L,negative,17.73,2020-01-03,AGNC
Advanced Micro Devices (AMD),01/03,D,buy,48.6,2020-01-03,AMD
American Express (AXP),01/03,D,buy,124.6,2020-01-03,AXP
Boeing (BA),01/03,D,negative,332.76,2020-01-03,BA
Alibaba (BABA),01/03,L,buy,217.0,2020-01-03,BABA
Bed Bath & Beyond (BBBY),01/03,D,positive,16.08,2020-01-03,BBBY
CrowdStrike (CRWD),01/03,I,buy,50.75,2020-01-03,CRWD
BP (BP),01/03,D,buy,38.83,2020-01-03,BP
Canopy Growth (CGC),01/03,D,negative,19.9,2020-01-03,CGC
Walmart (WMT),01/03,D,buy,117.89,2020-01-03,WMT
Wendy's (WEN),01/03,L,buy,22.38,2020-01-03,WEN
Walgreens Boots Alliance (WBA),01/03,D,sell,59.08,2020-01-03,WBA
ViacomCBS (VIAC),01/03,L,buy,41.45,2020-01-03,VIAC
